연도,순위,이름,ERA,경기수,승리,패배,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책점,WHIP,완투,완봉,퀄리티스타트,블론세이브,총타자상대,투구수,피안타율,2루타,3루타,희생타,희생플라이,고의사구,폭투,보크
2019,15,이태양,5.81,55,1,6,0,10,0.143,66 2/3,74,8,13,3,64,44,43,1.31,0,0,0,5,283,1083,0.282,11,2,2,3,0,4,0
2019,16,김종수,5.81,35,2,0,0,0,1.000,31,30,4,33,1,28,21,20,2.03,0,0,0,0,148,646,0.268,4,0,1,1,0,2,0
2019,17,신정락,5.84,44,5,1,0,5,0.833,44 2/3,48,6,21,6,35,33,29,1.54,0,0,0,1,207,816,0.273,8,0,3,1,0,4,0
2019,18,송창현,6.39,3,0,1,0,0,0.000,12 2/3,15,4,4,0,5,9,9,1.50,0,0,0,0,57,217,0.283,1,0,0,0,0,0,0
2019,19,김민우,6.75,16,2,7,0,0,0.222,68,80,6,30,6,46,59,51,1.62,1,0,3,0,316,1171,0.292,12,1,4,2,0,4,0
2019,19,황영국,6.75,6,0,0,0,0,-,4,8,2,1,0,6,3,3,2.25,0,0,0,0,20,91,0.421,0,0,0,0,0,0,0
2019,21,박성웅,7.98,29,0,4,0,1,0.000,38 1/3,51,8,24,2,27,37,34,1.96,0,0,0,1,188,721,0.321,9,2,2,1,0,1,1
2019,22,윤규진,10.38,3,0,0,0,0,-,4 1/3,6,0,1,0,1,5,5,1.62,0,0,0,0,20,74,0.333,2,1,0,1,0,0,0
2019,23,문동욱,12.06,12,1,1,0,0,0.500,15 2/3,36,3,4,3,12,25,21,2.55,0,0,0,0,91,305,0.444,6,0,1,2,0,1,0
2019,24,김재영,12.96,5,0,0,0,0,-,8 1/3,14,1,3,2,4,12,12,2.04,0,0,0,1,41,164,0.389,4,0,0,0,0,0,0
2019,25,서균,14.54,7,0,0,0,0,-,4 1/3,10,0,3,0,3,8,7,3.00,0,0,0,0,27,108,0.417,4,0,0,0,0,0,0
2019,26,윤호솔,17.18,3,0,0,0,0,-,3 2/3,8,1,3,0,2,7,7,3.00,0,0,0,0,22,96,0.421,1,0,0,0,0,0,0
2019,27,이충호,45.00,1,0,0,0,0,-,1,6,1,1,0,0,5,5,7.00,0,0,0,0,10,38,0.667,3,0,0,0,0,1,0
2019,28,송창식,54.00,1,0,0,0,0,-,1/3,3,0,0,0,1,2,2,9.00,0,0,0,0,4,9,0.750,1,0,0,0,0,0,0
2020,1,서균,0.00,7,0,0,0,0,-,7 1/3,7,0,6,1,1,0,0,1.77,0,0,0,0,34,137,0.292,0,0,1,2,0,0,0
